station_id,name,short_name,lat,lon,region_id,rental_methods/0,rental_methods/1,capacity,eightd_has_key_dispenser
386,Centre St & Worth St,5279.03,40.71494807,-74.00234482,71,KEY,CREDITCARD,43,FALSE
387,Centre St & Chambers St,5207.01,40.71273266,-74.0046073,71,KEY,CREDITCARD,39,TRUE
388,W 26 St & 10 Ave,6382.05,40.74971775,-74.00295035,71,KEY,CREDITCARD,35,FALSE
389,Broadway & Berry St,5164.04,40.71044554,-73.96525063,71,KEY,CREDITCARD,27,FALSE
390,Duffield St & Willoughby St,4596.05,40.69221589,-73.9842844,71,KEY,CREDITCARD,31,FALSE
391,Clark St & Henry St,4789.03,40.69760127,-73.99344559,71,KEY,CREDITCARD,31,FALSE
392,Jay St & Tech Pl,4710.06,40.695065,-73.987167,71,KEY,CREDITCARD,32,FALSE
393,E 5 St & Avenue C,5545.04,40.72299208,-73.97995466,71,KEY,CREDITCARD,31,FALSE
394,E 9 St & Avenue C,5616.01,40.72521311,-73.97768752,71,KEY,CREDITCARD,32,FALSE
395,Bond St & Schermerhorn St,4479.03,40.68807003,-73.98410637,71,KEY,CREDITCARD,30,FALSE
396,Lefferts Pl & Franklin Ave,4222.02,40.68034242,-73.95576894,71,KEY,CREDITCARD,25,FALSE
397,Fulton St & Clermont Ave,4386.05,40.68415748,-73.96922273,71,KEY,CREDITCARD,27,FALSE
398,Atlantic Ave & Furman St,4614.04,40.69165183,-73.9999786,71,KEY,CREDITCARD,31,FALSE
399,Lafayette Ave & St James Pl,4494.04,40.68851534,-73.9647628,71,KEY,CREDITCARD,27,FALSE
400,Pitt St & Stanton St,5406.04,40.71926081,-73.98178024,71,KEY,CREDITCARD,15,FALSE
401,Allen St & Rivington St,5414.06,40.72019576,-73.98997825,71,KEY,CREDITCARD,42,FALSE
402,Broadway & E 22 St,6098.07,40.7403432,-73.98955109,71,KEY,CREDITCARD,40,FALSE
405,Washington St & Gansevoort St,6039.06,40.739323,-74.008119,71,KEY,CREDITCARD,40,FALSE
406,Hicks St & Montague St,4645.09,40.69512845,-73.99595065,71,KEY,CREDITCARD,34,FALSE
407,Henry St & Poplar St,4861.04,40.700469,-73.991454,71,KEY,CREDITCARD,37,FALSE
408,Market St & Cherry St,5198.04,40.71076228,-73.99400398,71,KEY,CREDITCARD,23,FALSE
409,DeKalb Ave & Skillman St,4528.05,40.6906495,-73.95643107,71,KEY,CREDITCARD,19,FALSE
410,Suffolk St & Stanton St,5445.02,40.72066442,-73.98517977,71,KEY,CREDITCARD,35,FALSE
411,E 6 St & Avenue D,5506.14,40.72228087,-73.97668709,71,KEY,CREDITCARD,23,FALSE
412,Forsyth St & Canal St,5270.07,40.7158155,-73.99422366,71,KEY,CREDITCARD,29,FALSE
414,Pearl St & Anchorage Pl,4936.12,40.70281858,-73.98765762,71,KEY,CREDITCARD,24,FALSE
415,Pearl St & Hanover Square,4993.02,40.7047177,-74.00926027,71,KEY,CREDITCARD,42,FALSE
416,Cumberland St & Lafayette Ave,4428.02,40.68753406,-73.97265183,71,KEY,CREDITCARD,31,FALSE
417,Barclay St & Church St,5216.04,40.71291224,-74.01020234,71,KEY,CREDITCARD,23,FALSE
418,Front St & Gold St,4927.04,40.70224,-73.982578,71,KEY,CREDITCARD,23,FALSE
419,Carlton Ave & Park Ave,4732.04,40.69580705,-73.97355569,71,KEY,CREDITCARD,23,FALSE
420,Clermont Ave & Lafayette Ave,4461.01,40.68764484,-73.96968902,71,KEY,CREDITCARD,23,FALSE
421,Clermont Ave & Park Ave,4692.01,40.69573398,-73.97129668,71,KEY,CREDITCARD,19,FALSE
422,W 59 St & 10 Ave,7023.04,40.770513,-73.988038,71,KEY,CREDITCARD,55,FALSE
423,W 54 St & 9 Ave,6920.03,40.76584941,-73.98690506,71,KEY,CREDITCARD,39,FALSE
426,West St & Chambers St,5329.03,40.71754834,-74.01322069,71,KEY,CREDITCARD,31,TRUE
427,Bus Slip & State St,4889.06,40.701907,-74.013942,71,KEY,CREDITCARD,47,FALSE
428,E 3 St & 1 Ave,5553.03,40.72467721,-73.98783413,71,KEY,CREDITCARD,31,FALSE
430,York St & Jay St,4895.01,40.7014851,-73.98656928,71,KEY,CREDITCARD,27,FALSE
432,E 7 St & Avenue A,5626.07,40.72621788,-73.98379855,71,KEY,CREDITCARD,31,FALSE
433,E 13 St & Avenue A,5779.04,40.72955361,-73.98057249,71,KEY,CREDITCARD,39,FALSE
434,9 Ave & W 18 St,6190.08,40.74317449,-74.00366443,71,KEY,CREDITCARD,27,FALSE
435,W 21 St & 6 Ave,6140.05,40.74173969,-73.99415556,71,KEY,CREDITCARD,47,TRUE
436,Hancock St & Bedford Ave,4255.05,40.68216564,-73.95399026,71,KEY,CREDITCARD,27,FALSE
437,Macon St & Nostrand Ave,4214.03,40.68098339,-73.95004798,71,KEY,CREDITCARD,24,FALSE
438,St Marks Pl & 1 Ave,5626.13,40.72779126,-73.98564945,71,KEY,CREDITCARD,27,FALSE
439,E 4 St & 2 Ave,5593.04,40.7262807,-73.98978041,71,KEY,CREDITCARD,39,FALSE
440,E 45 St & 3 Ave,6464.08,40.75255434,-73.97282625,71,KEY,CREDITCARD,32,FALSE
441,E 52 St & 2 Ave,6575.06,40.756014,-73.967416,71,KEY,CREDITCARD,35,FALSE
442,W 27 St & 7 Ave,6247.06,40.746647,-73.993915,71,KEY,CREDITCARD,51,FALSE
443,Bedford Ave & S 9 St,5093.01,40.70853074,-73.96408963,71,KEY,CREDITCARD,23,FALSE
444,Broadway & W 24 St,6173.04,40.7423543,-73.98915076,71,KEY,CREDITCARD,52,TRUE
445,E 10 St & Avenue A,5659.05,40.72740794,-73.98142006,71,KEY,CREDITCARD,42,FALSE
446,W 24 St & 7 Ave,6257.03,40.74487634,-73.99529885,71,KEY,CREDITCARD,39,FALSE
447,8 Ave & W 52 St,6816.07,40.76370739,-73.9851615,71,KEY,CREDITCARD,31,FALSE
448,W 37 St & 10 Ave,6611.02,40.75660359,-73.9979009,71,KEY,CREDITCARD,31,FALSE
449,W 52 St & 9 Ave,6854.02,40.76461837,-73.98789473,71,KEY,CREDITCARD,31,FALSE
450,W 49 St & 8 Ave,6747.06,40.76227205,-73.98788205,71,KEY,CREDITCARD,59,FALSE
453,W 22 St & 8 Ave,6224.03,40.74475148,-73.99915362,71,KEY,CREDITCARD,39,FALSE
454,E 51 St & 1 Ave,6532.06,40.75455731,-73.96592976,71,KEY,CREDITCARD,35,FALSE
455,1 Ave & E 44 St,6379.03,40.75001986,-73.96905301,71,KEY,CREDITCARD,39,FALSE
456,E 53 St & Madison Ave,6659.03,40.7597108,-73.97402311,71,KEY,CREDITCARD,35,FALSE
457,Broadway & W 58 St,6948.1,40.76695317,-73.98169333,71,KEY,CREDITCARD,39,TRUE
458,11 Ave & W 27 St,6425.04,40.751396,-74.005226,71,KEY,CREDITCARD,31,FALSE
459,W 20 St & 11 Ave,6306.07,40.746745,-74.007756,71,KEY,CREDITCARD,49,TRUE
460,S 4 St & Wythe Ave,5204.05,40.71285887,-73.96590294,71,KEY,CREDITCARD,23,FALSE
461,E 20 St & 2 Ave,5971.08,40.73587678,-73.98205027,71,KEY,CREDITCARD,39,FALSE
462,W 22 St & 10 Ave,6306.06,40.74691959,-74.00451887,71,KEY,CREDITCARD,47,FALSE
465,Broadway & W 41 St,6560.01,40.75513557,-73.98658032,71,KEY,CREDITCARD,39,FALSE
466,W 25 St & 6 Ave,6215.04,40.74395411,-73.99144871,71,KEY,CREDITCARD,35,FALSE
467,Dean St & 4 Ave,4322.02,40.68312489,-73.97895137,71,KEY,CREDITCARD,34,FALSE
468,Broadway & W 55 St,6847.02,40.7652654,-73.98192338,71,KEY,CREDITCARD,59,FALSE
469,Broadway & W 53 St,6779.05,40.76344058,-73.98268129,71,KEY,CREDITCARD,57,FALSE
470,W 20 St & 8 Ave,6224.05,40.74345335,-74.00004031,71,KEY,CREDITCARD,37,FALSE
471,Grand St & Havemeyer St,5267.08,40.71286844,-73.95698119,71,KEY,CREDITCARD,31,FALSE
472,E 32 St & Park Ave,6280.12,40.7457121,-73.98194829,71,KEY,CREDITCARD,41,FALSE
473,Rivington St & Chrystie St,5453.01,40.72110063,-73.9919254,71,KEY,CREDITCARD,38,FALSE
474,5 Ave & E 29 St,6248.06,40.7451677,-73.98683077,71,KEY,CREDITCARD,39,FALSE
475,E 16 St & Irving Pl,5938.1,40.73524276,-73.98758561,71,KEY,CREDITCARD,37,FALSE
476,E 31 St & 3 Ave,6239.08,40.74394314,-73.97966069,71,KEY,CREDITCARD,47,FALSE
477,W 41 St & 8 Ave,6602.03,40.75640548,-73.9900262,71,KEY,CREDITCARD,59,FALSE
478,11 Ave & W 41 St,6726.01,40.76030096,-73.99884222,71,KEY,CREDITCARD,31,FALSE
479,9 Ave & W 45 St,6717.06,40.76019252,-73.9912551,71,KEY,CREDITCARD,31,FALSE
480,W 53 St & 10 Ave,6890.01,40.76669671,-73.99061728,71,KEY,CREDITCARD,27,FALSE
481,S 3 St & Bedford Ave,5235.05,40.71260486,-73.96264403,71,KEY,CREDITCARD,25,FALSE
482,W 15 St & 7 Ave,6030.06,40.73935542,-73.99931783,71,KEY,CREDITCARD,39,FALSE
483,E 12 St & 3 Ave,5788.12,40.73223272,-73.98889957,71,KEY,CREDITCARD,35,FALSE
484,W 44 St & 5 Ave,6551.02,40.75500254,-73.98014437,71,KEY,CREDITCARD,44,FALSE
485,W 37 St & 5 Ave,6398.06,40.75038009,-73.98338988,71,KEY,CREDITCARD,39,FALSE
486,Broadway & W 29 St,6289.06,40.7462009,-73.98855723,71,KEY,CREDITCARD,39,FALSE
487,E 20 St & FDR Drive,5886.02,40.73314259,-73.97573881,71,KEY,CREDITCARD,36,FALSE
488,W 39 St & 9 Ave,6644.04,40.75645824,-73.99372222,71,KEY,CREDITCARD,41,FALSE
490,8 Ave & W 33 St,6450.12,40.751551,-73.993934,71,KEY,CREDITCARD,59,FALSE
491,E 24 St & Park Ave S,6131.1,40.74096374,-73.98602213,71,KEY,CREDITCARD,53,FALSE
492,W 33 St & 7 Ave,6407.07,40.75019995,-73.99093085,71,KEY,CREDITCARD,49,FALSE
493,W 45 St & 6 Ave,6593.13,40.7568001,-73.98291153,71,KEY,CREDITCARD,34,FALSE
494,W 26 St & 8 Ave,6297.02,40.74734825,-73.99723551,71,KEY,CREDITCARD,35,FALSE
495,W 47 St & 10 Ave,6824.07,40.76269882,-73.99301222,71,KEY,CREDITCARD,25,FALSE
496,E 16 St & 5 Ave,6022.04,40.73726186,-73.99238967,71,KEY,CREDITCARD,47,FALSE
497,E 17 St & Broadway,5980.07,40.73704984,-73.99009296,71,KEY,CREDITCARD,59,TRUE
498,Broadway & W 32 St,6364.09,40.74854862,-73.98808416,71,KEY,CREDITCARD,30,FALSE
499,Broadway & W 60 St,6948.11,40.76915505,-73.98191841,71,KEY,CREDITCARD,36,TRUE
500,Broadway & W 51 St,6779.04,40.76228826,-73.98336183,71,KEY,CREDITCARD,52,FALSE
